Station,Region,Latitude,Longitude,Name,City,State,Country
VMMC,asia,22.15,113.6,"Taipa Grande, Macau",Taipa Grande,, Macau
VOBG,asia,12.95,77.667,"Bangalore, India",Bangalore,, India
VOBZ,asia,16.533,80.8,"Vijayawada/gannava, India",Vijayawada/gannava,, India
VOCB,asia,11.033,77.05,"Coimbatore/peelamed, India",Coimbatore/peelamed,, India
VOCP,asia,14.683,77.617,"Anantapur, India",Anantapur,, India
VOHY,asia,17.45,78.467,"Begumpet Airport, India",Begumpet Airport,, India
VOML,asia,12.917,74.883,"Mangalore/bajpe, India",Mangalore/bajpe,, India
VOMM,asia,13,80.183,"Madras/minambakkam, India",Madras/minambakkam,, India
VONS,asia,15.8,78.067,"Kurnool, India",Kurnool,, India
VORY,asia,16.95,82.233,"Kakinada, India",Kakinada,, India
VOTP,asia,14.45,79.983,"Nellore, India",Nellore,, India
VOTR,asia,10.767,78.717,"Tiruchchirapalli, India",Tiruchchirapalli,, India
VOTX,asia,11.767,79.767,"Cuddalore, India",Cuddalore,, India
VOWA,asia,18.767,79.433,"Ramgundam, India",Ramgundam,, India
VTBS,asia,13.367,100.983,"Chon Buri, Thailand",Chon Buri,, Thailand
VTBU,asia,12.683,100.983,"Sattahip, Thailand",Sattahip,, Thailand
VTCL,asia,18.283,99.517,"Lampang, Thailand",Lampang,, Thailand
VTCN,asia,18.767,100.767,"Nan, Thailand",Nan,, Thailand
VTCP,asia,18.167,100.167,"Phrae, Thailand",Phrae,, Thailand
VTPB,asia,16.433,101.15,"Phetchabun, Thailand",Phetchabun,, Thailand
VTPH,asia,12.583,99.95,"Hua Hin, Thailand",Hua Hin,, Thailand
VTPT,asia,16.883,99.15,"Tak, Thailand",Tak,, Thailand
VTUD,asia,17.383,102.8,"Udon Thani, Thailand",Udon Thani,, Thailand
VTUK,asia,16.433,102.833,"Khon Kaen, Thailand",Khon Kaen,, Thailand
VTUL,asia,17.45,101.733,"Loei, Thailand",Loei,, Thailand
VVDN,asia,16.067,108.35,"Da Nang, Vietnam",Da Nang,, Vietnam
VVNB,asia,21.033,105.8,"Ha Noi, Vietnam",Ha Noi,, Vietnam
VVNT,asia,12.217,109.217,"Nha Trang, Vietnam",Nha Trang,, Vietnam
VVTS,asia,10.817,106.667,"Tan Son Hoa, Vietnam",Tan Son Hoa,, Vietnam
VVVH,asia,18.667,105.683,"Vinh, Vietnam",Vinh,, Vietnam
WBGR,asia,4.333,113.983,"Miri, Malaysia",Miri,, Malaysia
WBGS,asia,2.333,111.833,"Sibu, Malaysia",Sibu,, Malaysia
WBKK,asia,5.933,116.05,"Kota Kinabalu, Malaysia",Kota Kinabalu,, Malaysia
